0,Conv2d,2,conv_stem.conv
1,BatchNorm2d,5,bn1.bn
2,Conv2d,19,blocks.layers.0.layers.0.ghost1.primary_conv.layers.0.conv
3,BatchNorm2d,22,blocks.layers.0.layers.0.ghost1.primary_conv.layers.1.bn
4,Conv2d,29,blocks.layers.0.layers.0.ghost1.cheap_operation.layers.0.conv
5,BatchNorm2d,32,blocks.layers.0.layers.0.ghost1.cheap_operation.layers.1.bn
6,Conv2d,41,blocks.layers.0.layers.0.ghost2.primary_conv.layers.0.conv
7,BatchNorm2d,44,blocks.layers.0.layers.0.ghost2.primary_conv.layers.1.bn
8,Conv2d,51,blocks.layers.0.layers.0.ghost2.cheap_operation.layers.0.conv
9,BatchNorm2d,54,blocks.layers.0.layers.0.ghost2.cheap_operation.layers.1.bn
10,Conv2d,68,blocks.layers.1.layers.0.ghost1.primary_conv.layers.0.conv
11,BatchNorm2d,71,blocks.layers.1.layers.0.ghost1.primary_conv.layers.1.bn
12,Conv2d,78,blocks.layers.1.layers.0.ghost1.cheap_operation.layers.0.conv
13,BatchNorm2d,81,blocks.layers.1.layers.0.ghost1.cheap_operation.layers.1.bn
14,Conv2d,86,blocks.layers.1.layers.0.conv_dw.conv
15,BatchNorm2d,89,blocks.layers.1.layers.0.bn_dw.bn
16,Conv2d,96,blocks.layers.1.layers.0.ghost2.primary_conv.layers.0.conv
17,BatchNorm2d,99,blocks.layers.1.layers.0.ghost2.primary_conv.layers.1.bn
18,Conv2d,106,blocks.layers.1.layers.0.ghost2.cheap_operation.layers.0.conv
19,BatchNorm2d,109,blocks.layers.1.layers.0.ghost2.cheap_operation.layers.1.bn
20,Conv2d,116,blocks.layers.1.layers.0.shortcut.layers.0.conv
21,BatchNorm2d,119,blocks.layers.1.layers.0.shortcut.layers.1.bn
22,Conv2d,122,blocks.layers.1.layers.0.shortcut.layers.2.conv
23,BatchNorm2d,125,blocks.layers.1.layers.0.shortcut.layers.3.bn
24,Conv2d,135,blocks.layers.2.layers.0.ghost1.primary_conv.layers.0.conv
